"Activite","N","Ville","Labels"
"Ferens Art Gallery",1,"KingstonuponHull","Galeries d'art"
"Lyceum Theatre",1,"Sheffield","Théâtres"
"Sheffield City Hall",1,"Sheffield","Théâtres"
"Filey Beach",1,"Filey","Plages"
"Whitby Abbey",1,"Whitby","Ruines anciennes"
"Scarborough Castle",1,"Scarborough","Châteaux"
"Whitby Beach",1,"Whitby","Plages"
"Sandsend Beach",1,"Sandsend","Plages"
"Dalby Forest",1,"Pickering","Forêts"
"Dalby Forest",1,"Pickering",", "
"Dalby Forest",1,"Pickering","Parcs nationaux"
"Saltburn Pier",1,"SaltburnbytheSea","Jetées et promenades"
"199 Steps",1,"Whitby","Zones piétonnes historiques"
"Goathland Station",1,"Goathland","Sites et monuments"
"Falling Foss Tea Garden and Waterfall",1,"Whitby","Jardins"
"Falling Foss Tea Garden and Waterfall",1,"Whitby",", "
"Falling Foss Tea Garden and Waterfall",1,"Whitby","Cascades"
"Roseberry Topping",1,"Middlesbrough","Sites et monuments"
"Stephen Joseph Theatre",1,"Scarborough","Théâtres"
"Playdale Farm Park",1,"Cayton","Fermes"
"Scarborough Open Air Theatre",1,"Scarborough","Théâtres"
"Mallyan Spout",1,"Goathland","Sites et monuments"
"Robin Hoods Bay Beach",1,"Robin Hoods Bay","Plages"
"Stewart Park",1,"Marton","Parcs"
"Alhambra Theatre",1,"Bradford","Théâtres"
"Greenhead Park",1,"Huddersfield","Parcs"
"Hollingworth Lake",1,"Rochdale","Plans d'eau"
"Ogden Water Country Park & Nature Reserve",1,"Halifax","Espaces naturels et sauvages"
"East Riddlesden Hall, National Trust",1,"Keighley","Sites historiques"
"Bingley Five Rise Locks",1,"Bingley","Sites et monuments"
"Skipton Castle",1,"Skipton","Châteaux"
"Bolton Abbey",1,"1351 avis","Nº 1 sur 4 choses à voir/à faire à Bolton Abbey"
"Hesketh Farm Park",1,"Skipton","Parcs"
"Hesketh Farm Park",1,"Skipton",", "
"Hesketh Farm Park",1,"Skipton","Fermes"
"Thornton Hall Farm Country Park",1,"ThorntoninCraven","Fermes"
"Nidderdale Llamas",1,"Harrogate","Fermes"
"Smithills Open Farm",1,"Bolton","Fermes"
"Aysgarth Falls",1,"Aysgarth","Cascades"
"Ingleton Waterfalls Trail",1,"Ingleton","Randonnées"
"Bolton Castle",1,"Leyburn","Châteaux"
"Ribblehead Viaduct",1,"Ingleton","Ponts"
"Ribblehead Viaduct",1,"Ingleton",", "
"Ribblehead Viaduct",1,"Ingleton","Sites et monuments"
"Sewerby Hall and Gardens",1,"Bridlington","Parcs"
"Sewerby Hall and Gardens",1,"Bridlington",", "
"Sewerby Hall and Gardens",1,"Bridlington","Jardins"
"RSPB Bempton Cliffs",1,"Bempton","Espaces naturels et sauvages"
"Flamborough Lighthouse",1,"Flamborough","Phares"
"Bridlington Birds of Prey & Animal Park",1,"Bridlington","Zoos"
"RSPB Saltholme",1,"Middlesbrough","Espaces naturels et sauvages"
