"Activite","N","Labels","address"
"Smithills Open Farm",5,"Fermes","smithills dean rd, bolton bl1 7ns, uk"
"Altrincham Market",5,"Marchés fermiers","26 market st, altrincham wa14 1pf, uk"
"The Plaza",5,"Théâtres","mersey square, stockport sk1 1sp, uk"
"MediaCityUK",5,"Sites et monuments","the greenhouse, 101-110 broadway, salford m50 2eq, uk"
"Stockport Air Raid Shelters",5,"Sites historiques","61 chestergate, stockport sk1 1ne, uk"
"Granada Studios",5,"Sites historiques","quay house, quay st, manchester m3 3je, uk"
"Dunham Massey Hall & Gardens",5,"Sites historiques","dunham massey hall, woodhouse ln, altrincham wa14 4sj, uk"
"Dunham Massey Hall & Gardens",5,", ","dunham massey hall, woodhouse ln, altrincham wa14 4sj, uk"
"Dunham Massey Hall & Gardens",5,"Parcs","dunham massey hall, woodhouse ln, altrincham wa14 4sj, uk"
"Haigh Woodland Park",5,"Parcs","haigh woodland park, school ln, wigan wn2 1pe, uk"
"Ribblehead Viaduct",6,"Ponts","ribblehead viaduct, low sleights rd, carnforth la6 3au, uk"
"Ribblehead Viaduct",6,", ","ribblehead viaduct, low sleights rd, carnforth la6 3au, uk"
"Ribblehead Viaduct",6,"Sites et monuments","ribblehead viaduct, low sleights rd, carnforth la6 3au, uk"
"Ingleton Waterfalls Trail",6,"Randonnées","broadwood entrance, ingleton, carnforth la6 3et, uk"
"Hull's Old Town",7,"Sites et monuments","25 high st, hull hu1 1ps, uk"
"The Humber Bridge",7,"Ponts","humber bridge, hessle hu13 0ln, uk"
"Ferens Art Gallery",7,"Galeries d'art","queen victoria square, carr ln, hull hu1 3ra, uk"
"Bolton Castle",8,"Châteaux","bolton castle, nr leyburn, north yorkshire dl8 4et, uk"
"Aysgarth Falls",8,"Cascades","north yorkshire dl8 3sr, uk"
"Roseberry Topping",9,"Sites et monuments","roseberry topping, middlesbrough ts9 6qs, uk"
"Saltburn Pier",9,"Jetées et promenades","amber st, united kingdom"
"Stewart Park",9,"Parcs","stewart park, the grove, marton, marton-in-cleveland, middlesbrough ts7 8ar, uk"
"RSPB Saltholme",9,"Espaces naturels et sauvages","seaton carew road, stockton-on-tees ts2 1tu, uk"
